ItemID,Sentiment,SentimentText
1037096,Negative,Lying on my bed thinking damn it's gunna be such a crapy day 
1037097,Negative,"Lying on my floor insanely hungry  I think I might pass out, and I'm not aloud food until dinner, which is in a bloody hour!"
1037098,Negative,lying on the couch wishing I was out walking...  oh well...watching a moviee! kinda bored though! oh darnnn
1037099,Negative,Lying on the sofa resting my leg! 
1037100,Negative,Lying on the sofa this is gna make me stress more why do i stress so much sick 3times now Wahey. I fucking hate being ill 
1037101,Positive,Lying on the sun lounger gemmas rave tonight should be a reet laugh looking forward to tomorrow aswell 
1037102,Positive,lyka left... so might as well go too *feels guilty totally neglected Max and chatted with lyka for 4 hours?!* i think it was worth it! 
1037103,Positive,lykeee teal hair  mayb pics tomarrow... mastamind shit if only u knew ;)
1037104,Positive,Lykke Li  But its all about Lady Gaga &amp;&amp; Fashion
1037105,Negative,"Lynda got me some awesome Vans for my birthday, but they're too small. Pregnancy made my feet bigger "
1037106,Negative,"lyndons sleep, no night of till friday  we can go then though"
1037107,Negative,"Lynzi's funeral this morning, really dreading this.Still can't believe she's gone "
1037108,Negative,"Lyric Cafe should be an hour long, thirty mins is just a teaser. Soon as get in a groove the show is over "
1037109,Positive,Lyrics are finished  /dmay9x
1037110,Positive,Lyx is cool.
1037111,Negative,"Lyzi, I wish u were coming to the concert on Saturday!!!  Dont be sad, were going again!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
1037112,Positive,lz7  r u the best eve better then  any thing  and  when are u comeing back to bude  the gig in budehaven was fab  xx   u r the best
1037113,Negative,M &amp; L are takin Kuzco on a little road trip...don't think he likes it very much 
1037114,Positive,M @wildbar owns the dance floor in the early hours yesterday 
1037115,Positive,m back.. after a long time.. 
1037116,Positive,M Beat feat. General Levy - Incredible... a classic jungle tune ! ...   reggaenews.de/wordpress/archives/551 !!! iki iki  
1037117,Negative,m bored!!!  its so fuckin hot here...
1037118,Negative,m bored.... its very hot here.... n nothin's interestin me now..... 
1037119,Negative,M did u fart in my office? 
1037120,Positive,m going to the beach 
1037121,Negative,"M grandma is rather difficult -.- and oh my goshhhh, where did that French air plane go? "
1037122,Negative,m havin a headache....  dunno da reason tho...
1037123,Negative,m having bad cold todaY!! HUHU 
1037124,Negative,M is the only thing I know like the back of my hand 
1037125,Positive,m logging out now..... gotta go sleep... gn sd guys.... sleep tight tty 2mrw.... byeeee.... 
1037126,Negative,m movin 2 the Vet Clinic 2 be live-in staff. Ill b on call at the clinic from noon on Sat. till 7am on Mon. No more Full Moon on weekends 
1037127,Positive,m off... studying again 
1037128,Positive,M remembered her old routine as a hostess    yfrog.com/3xynqj
1037129,Negative,M scared  he's gonna hurt me 
1037130,Negative,m thinking hard...if &quot;he's just not into me&quot;....and if i really follow the book...who else left to be 'into me'? Now...u tell me!!! 
1037131,Negative,M very upset these days...my pets...Sweety and Shera passed away.... Missing them a lot  
1037132,Negative,'m working on a logo on photoshop &amp; it didn't work out..  hehe.. try again lah..
1037133,Positive,M&amp;D's in the rain? should be fun 
1037134,Positive,M.A.C Blacktied! My favorite black eyeshadow right now. 
1037135,Negative,M.I.A?PJ?Beasties?Thievery?Volta?Bat4Lashes?BandOfHorses? I enjoy this line-up: .ly/16lUgX Too bad it's in San Fran 
1037136,Positive,"m?i nh?y v� nghe th?y ch? 'XI?N' g� g� ??y, m?t s�ng r?.. h� h� h�   "
1037137,Negative,M0rning twitts.... I reallly d0nt wanna get 0ut 0f bed 
1037138,Positive,m0sx: well thats sweet 
1037139,Negative,"M1.9P's Swiftech CPU/pump developed a leak, it maybe bye bye CPU nd/or motherboard "
1037140,Negative,M25 at a standstill westbound after A12...    twitpic.com/552nm
1037141,Negative,'Ma baby girl and sister-in-law just left. 
1037142,Negative,"ma brithday was amazing ,but feel like shit "
1037143,Positive,ma come si usa questo Network??? 
1037144,Negative,"ma computer has ttl fukd up to the max lyk, bad times "
1037145,Negative,ma ex bf and ma friend r goin out and they r cumin round now should b fun  not haha
1037146,Positive,Ma homeboy says Im too busy and because I do everything 4 myself Im gonna get to the top and end up alone LOL I just need some courtship 
1037147,Negative,Ma husband  tells me his goin out  how sad leavin me HANGIN lik dis!! GRRr
1037148,Positive,Ma page Facebook:  happyfacebook.com/JMAbrassart Seti pas cool? 
1037149,Negative,ma phone is no sendin ta twitter?!  it makes for some very sad
1037150,Positive,M-a sunat cineva de la Partidul Democrat să mă întrebe dacă am fost la vot. I-am zis să mă urmărească pe Twitter dacă vrea să afle. 
1037151,Negative,"ma throat hurts, "
1037152,Positive,Ma uit la The Dark Knight. Cred ca a 100 oara  Oricum o sa am timp mai mult in urmatoarea perioada. Cred ca imi prinde bine 
1037153,Negative,már megvan  The original size (if you have a pro account)
1037154,Positive,Mình phải can đảm lên. Dám mơ ước thì phải dám hành động. Sợ gì thất bại 
1037155,Negative,Maaaaaaaaajor headache. It's so gloomy outside!  Just gonna lounge today. Whoopiiiiii.
1037156,Negative,maaaaaaaaths test next going to fail AGAIN 
1037157,Negative,Maaaaaaan  talk about tired....
1037158,Positive,maaaaaan friends = good timez 
1037159,Negative,"Maaaaaan what a lovely day, shame that the ice-cream man near our workplace decided there was business elsewhere before we got a 99 "
1037160,Negative,Maaaaan  : / I was trying hard 2 loge in    a huge mistake  Instead of  asomy I registered as asmoy    HuH  &lt;&lt; Asma Al-hussaini
1037161,Negative,"Maaaaan Seattle, where'd you put all that sunshine?  I am not liking this overcast crap."
1037162,Negative,"maaaaannn, i gotta go to work this morning!  i'd rather be watching the TODAY SHOW! ; )"
1037163,Negative,maaaan I hate that I'm trying to be erased  
1037164,Negative,MAAAAN!!!! All I want is for the lakers to lose now! Wishd the CAVS were in! 
1037165,Negative,Maaaan. this pillow snells exactly like her :'( Miss my baby 
1037166,Negative,"maaaann, that loss was depressing "
1037167,Negative,maaan i feel so bad!  i'm suchha bad friend! NAWWWW
1037168,Negative,maaan i thoguth zac was going to be in snl 
1037169,Negative,"Maaan tonight was actaully amazing! I've literally just stopped crying  Team hot stuff!! Gotta say, i think we bet last years =P"
1037170,Negative,"Maaan. College is a bit dire today. Ohh nvm, new people in my class  I've a frog in my throat "
1037171,Positive,"maaate,grooovin was off the chain. uploading videos to youtube  happyyoutube.com/sluzzaa  go watch!"
1037172,Positive,"maahvianai go now ... this morning I'm going to church ,after ... i dont know! lol good night tweets later come back "
1037173,Negative,Maan strep throat is the worst 
1037174,Positive,Maasai Hip-Hop/Rap still makes me smile  ...breaking your assumptions! Wonder if it's on spotify?
1037175,Positive,Maatchbox twentyy  I blinded my right eye with eye makeup remover
1037176,Negative,Maaths exam today 
1037177,Negative,mabel got me drunk last night  she's already told me i have to do 4 shots with her 2night. i don't even do shots! oh no!!!
1037178,Negative,"Mabry is sleeping soundly in her @miracleblanket. . .little does she know, she has some serious shots tomorrow. "
1037179,Positive,mabuhay Manny! mabuhay pilipinas ! we are proud of you manny! 
1037180,Positive,"MAC &amp; CHEESE. Sorry Tom, it just popped to my head as I haven't had it in a very long time and its delicioussss! x   you like?"
1037181,Positive,"Mac and Cheese, clementine soda, and the first X-men movie. Wow this lunch is amazing. Wow this movie's effects were horrible. "
1037182,Positive,Mac commercials rock! So glad I'm one 
1037183,Positive,MAC F&amp;F Sale is on now! 
1037184,Negative,mac is down again 
1037185,Positive,mac makeup store 
1037186,Negative,Mac mini much slower editing video on  Going to get this uploaded &amp; then 18 holes w/my bros. Always love hanging w/them
1037187,Positive,mac n cheese.. pizza.. then donating  hit me up! 
1037188,Positive,mac osx select boot disk during startup?  ... a little help 
1037189,Negative,mac power supply is broken  bummer really don't want to have to buy a new one got no choice though
1037190,Negative,"MAC Q: how do I UNDO? like If i just deleted something b/c i hit Crtl + X instead of Command X, how do i get my tweet back? "
1037191,Negative,MAC Studio Sculpt....I do not like you...you did make me break out - grrr! 
1037192,Positive,mac users are privileged. I am not. -- having my cereal 
1037193,Positive,MAC workshop in LA w/sister!! 
1037194,Negative,Maca just kicked a hole in the wall... Hhahahaahhahahaha if only my twitpic worked 
1037195,Negative,Macaroni and cheese=puke. 
1037196,Positive,macaroni and hotdogs...best combo ever!! yummy! 
1037197,Negative,macbook + i915 + KMS = stale epic fail 
1037198,Negative,MacBook Air will only boot in safe mode after 10.5.7 update last night. Looks like a day of comp fixing ahead 
1037199,Negative,Macbook does not want to turn on 
1037200,Negative,Macbook fail - literally 
1037201,Negative,Macbook has a tiny teency chink in the top aluminium... 3 pin plug was left on top of it  lol
1037202,Negative,MacBook planté. Icône dossier ! clignotant au redémarrage. I've got a bad feeling about this. 
1037203,Negative,Macbook Pro arrives next week! - Shipping from China is slow 
1037204,Negative,MacBook Pro back in action after second logic board in as many years  #apple #fail Don't get me wrong though I wouldn't have any other
1037205,Negative,"Macbook Pro death  Typical timing right before a long weekend. Also related, backup fail, and Spotify/McAfee fail. Need beer."
1037206,Positive,"Macbook Pro speeds better get a bump at Apple's WWDC on the 8th, its time to order me one!  x9000"
1037207,Negative,"Macbook pro... WHY are you still in Shanghai, China? I want you NOW! "
1037208,Positive,maccas for dinner   hah im just so healthy!
1037209,Positive,Maccas for tea and now drinking a scotch and coke - time to start packing 
1037210,Positive,MacGyver! Bestest was The A-Team:   tr.im/jafR We played A-Team in the forest with my Brother and friends 
1037211,Negative,MACHINE :0 :0 :0 lol the farmer dance  lol puke Walton :p Bill Walton come back to broadcasting  we miss you 
1037212,Positive,mack maine;How are you feeling?//Thanx amber frost 
1037213,Positive,Mackie Manhattan is in the building 
1037214,Negative,Mac's getting PIV integration: /n7cdzb Too late for me as just got issued Dell laptop with XP and PIV card reader. 
1037215,Negative,MACS GON' DIE SOON. (n)  anybody have a spear charger. lmao
1037216,Negative,"MacTheRipper is a dead horse, sad to say, never releases any updates, just begs for $$ &amp; discs to test.  RipIt works, DVDShrink works too "
1037217,Positive,Maculele ready to release 
1037218,Negative,"Macy gray fake concert at florianopolis tonight, She sang just 2 playback songs, spend money for nothing... i feel cheated "
1037219,Negative,MACYS CRYINGGGG. OMG. im sad now 
1037220,Negative,Mad  myself 4 fallin 4 some1 that is impossible 2 be mine.......here at work wish he was mine  can't stop think bout him shm :'(
1037221,Negative,"mad  the world......  hatin lyfe...  i knew today was gonna be horrible, i shoulda jus stayed in bed  "
1037222,Negative,mad @eBStAR1 cuz shes not gonna be in NY for my bday 
1037223,Positive,Mad as  i'm in ARAtula  woo. Ten percent of the way.
1037224,Positive,Mad as shit...I went to get gas at WaWa and it fricken overflowed and got on my Juicy shoes SMH  Atleast I got my money back --free gass 
1037225,Negative,MAD AT AIM!!!!! IT DOESN'T LET MI IM MI ASH!! I MISS HIM  :'( WAHHHHHHHHHHHHHHHHHHHH................................ bLAH bLAHAHAHAHAHA
1037226,Negative,"mad at mommy, shes a meany "
1037227,Negative,mad at my mom 
1037228,Negative,mad at my mom for waking me up...... at 4 o'clock......becuz i left my game on......maaaaan....now i can't sleep......great  &gt;:0
1037229,Negative,Mad at myself: One false variable - The whole price-demand-function / PAF is wrong! AAAAAHH! 
1037230,Negative,mad at unisom for leaving me high and dry from 2:30 to 5:30 this morning. 
1037231,Negative,Mad because GDC chat got cancelled. 
1037232,Negative,"mad because it's raining outside, which means i can't hit the open road today "
1037233,Negative,mad cause i cant see the awards on tv 
1037234,Negative,Mad cause i've waited practicly 3 days 4 the jailbreak and what it seems like is they only made the version 4 mac not pc 
1037235,Negative,mad cuz its time 2 go bak 2 work 
1037236,Negative,mad fcking happy!someone seems so grow alot fatter. *maybe i should get a brownberry 
1037237,Negative,mad hangover! patron to the head aint good 
1037238,Negative,mad hw to do 
1037239,Negative,Mad I aint fall back asleep.. Smh up talkin 2 my sis @ChiChiGlacierz.. My nephew is there and I'm mad about it lol.. Missmy gizmo 
1037240,Negative,Mad I can't go to the cubs vs. sox game today with my family because i have to work tomorrow! grr 
1037241,Negative,Mad its rainin. I hope its ok for the bbq tomorrow 
1037242,Negative,Mad mad day. Somebody might steal my weekend  I hate being in Pune over weekends! It SUCKS
1037243,Negative,Mad my rinstones is falling off 
1037244,Negative,"mad rainy, my adidas are fucked up "
1037245,Negative,"mad starving, bapak penjual bacang cepatlah datang "
1037246,Negative,Mad that I couldn't walk this am.  Hopefully ill catch up later in the day 
1037247,Negative,Mad that I missed church today once again!!! 
1037248,Negative,mad that ive missed every Conan show this week...  ...except for tonite! yes! :]
1037249,Negative,mad that melo lost  bout 2 watch dance flick. crzy f nite..good nite!
1037250,Negative,Mad that my brother gets to skip school tomorrow and go to Six Flags with church. Not fair! 
1037251,Negative,"mad that my cable, dsl, are all out.  i guess this is what they mean my three in one.  now i have to sit here and wait for a technician "
1037252,Negative,Mad that the cavs r losing!!!  but still love Lebron!!!
1037253,Negative,Mad this stupid meducine isnt helping any... 
1037254,Positive,mad tired. sleep. dance tomorrow. cells good. 
1037255,Negative,Mad tireddd yo! i missed 11:11 and larry king live! 
1037256,Negative,mad we came across eachother once &amp; never spoke again?  bummer&gt;:o @hungrykryzzy &amp; @ashleynikoole you have NO proof of that!
1037257,Positive,Mad World. Song which helps me to  .ly/czXQs
1037258,Positive,Madagaskar 2 rocks!!! truly wonder why i took so long to watch it 
1037259,Positive,Madam Sniggles gave birth! four healthy baby bunnies 
1037260,Positive,"Madame Butterfly was fantastic. Awesome decor! Great to see old univ. friend singing Kate's character  Well done, Janelle!"
1037261,Negative,"MadCatz Fightstick TE has arrived!...BUT, I only managed to get 5 units and they have all been pre-booked  Next batch shud be in next  ..."
1037262,Positive,madcon's &quot;beggin'&quot; is such a good freeway song 
1037263,Negative,madd acheee 
1037264,Negative,Madd hungry but ain't no food in sighttt 
1037265,Negative,madd wake/..had the worst toothache lastnight  have to study for my psych exam
1037266,Negative,Maddd hot 
1037267,Negative,"Maddie is back home and doing very well, all things considered. There's been a lot of vomiting though "
1037268,Negative,Maddie is sick and got sent home from school today.....1st day of EOG's too ~ Poor Baby 
1037269,Positive,Maddie!!!  took the Dating quiz:  rateitall.com/q-109
1037270,Positive,"Maddin's finally back  Missed him so much  Today, having a grillparty with my brother"
1037271,Positive,Made $100 in one weekend of babysitting.  sooooo good.
1037272,Negative,made $175 bucks for some pictures of a local karate master! goin to bed soon cuz i have to work at 6 am 
1037273,Positive,made 2 bags so far. HAND MADE YO!  they only keep improving
1037274,Positive,made 20 bpqirs of earrings yesterday making the count 90. YAY 10 more to go. ... also made an anklet. 
1037275,Positive,made 3 sets of earrings and a necklace today 
1037276,Negative,Made 32 cupcakes today. Cannot eat cupcakes. F U dairy free diet 
1037277,Positive,"made a backup youtube page,its going to have new stories on it   happyyoutube.com/Fearlesslovex3"
1037278,Negative,"Made a bajillion spam musubis, funfetti brownie, and funfetti cupcakes with roomies, yumena, and mizuka. Cindy's last day "
1037279,Positive,"made a banana, apple, cranberry smoothie with a calcium + omega 3 rich soymilk and ohmygod it is delicious "
1037280,Positive,"Made a big dent in my research. When I finish this review, I'm rewarding myself with food. "
1037281,Negative,made a booboo  destroyed physical property in the office 
1037282,Negative,Made a bracelet and took pics. Why no blog? School comes first 
1037283,Negative,"Made a carrot cake today for the first time, totally stuffed up the cream cheese frosting, well more like runny icing "
1037284,Negative,Made a custom order item but the item is 0.5 inch shorter than the requested size... I'm shocked! Failed in pattern making 
1037285,Negative,made a hanging basket and got some strawberry plants today! shame about the rest of the garden though 
1037286,Negative,Made a large breakfast-for me. Garlic rice w/scrambled eggs topped w/asiago cheese...yummy. But my rice always ends up soggy 
1037287,Positive,"Made a last minute trip to the local comic book store. Tee hee, I have some good stuff  (?????? ?????????)"
1037288,Positive,"made a model for tomorrow, now it is time to edit some old maps! "
1037289,Negative,"made a tasty soup to make me feel better. It did, then I ate too much and now have tummy ache "
1037290,Positive,Made a Time Table for Blogging for the first time! Hope it works well for me 
1037291,Positive,"made a video  editing it noww, if this stupid video editing program will work &gt;&lt;"
1037292,Negative,"Made about 4% progress in Metroid Prime 3, then met an untimely game over screen. "
1037293,Negative,made all this chicken soup and I dun want none  I don't want nuffin.. I dun want food 
1037294,Positive,made an account to officially follow tom the twitterer! 
1037295,Positive,made an appointment to look at houses to build this week....extremely excited...i'm gonna be a home owner soon! 
1037296,Positive,Made an awesome dinner and put my 5 week old son to bed.  Im hoping for another 5.5 hour stretch of straight sleep tonight 
1037297,Negative,Made an incredible shrimp and steak salad... I'm only missing my ginger beer dressing from Liberty!! 
1037298,Positive,Made another background love it more than the 1st. think ima head of to sleep ni night 
1037299,Positive,made anothr cake today. and sat in the sun for a bit. i cuold get used to this 
1037300,Positive,Made awesome Palak Paneer at home..m not so bad at cooking after all 
1037301,Positive,"Made banana bread, oatmeal raisin cookies and now i'm making my own double pointed needles "
1037302,Positive,made bed now...had food..decided to have shower  then onto revision!
1037303,Negative,Made blueberry muffins from scratch! Now on to the mountainous pile of laundry 
1037304,Positive,"Made breakfast for bf; went to sears to pass my drivers test! stayed with minh for a lil, sauna&amp;spa with aunt, uncle &amp; mom; FINALLY HOME "
1037305,Negative,made careless mistakes in her accounting quiz. 
1037306,Positive,made chocolate chip cookies wiff my munchkin  going to see up! and eat at red robin.
1037307,Positive,"Made cupcakes  With little powdered sugar hearts, they're so cute "
1037308,Positive,made cupcakes on the first night of winter 
1037309,Positive,Made dinner for my honey...  he's the best i've ever had
1037310,Negative,Made epic trek to the halal Subway. Sweet onion chicken teryaki on Italian herbs &amp; cheese bread. Upset that I ate it all - none left 
1037311,Positive,"Made everybody pancakes this morning, went down very well "
1037312,Negative,Made friends with my ebay seller.. and now i feel awkward complaining that i've recieved a faulty item   damn you charming power seller!
1037313,Positive,Made good use of birthday money and got some nice new make-up. It feels like its been a very productive day. 
1037314,Negative,"made her dinner far too salty, "
1037315,Negative,"made home-made sopes from scratch today! now I'm too tired, and bloated to move  lol"
1037316,Positive,"Made it 2 the VA Center, helped unload the Water Stop truck, got a big bowl of Coldstone coffee ice cream &amp; strawberries w/Nora &amp; Lola. "
1037317,Positive,made it back to town safely 
1037318,Positive,Made it for the encore of &quot;The Brains&quot; punk band on Cortes last night.  Super fun to be in a mosh pit.  It's been a while  
1037319,Negative,made it home - spent $3150 in the past 14 hours - ouch!  plus I managed to miss @cooten's wedding - Bad Denis 
1037320,Positive,Made it home at 3 am good job love dane and love spike 
1037321,Negative,made it home safe hope my friends do 
1037322,Negative,Made it home...I am tired. I received my order from #Kodakgallery and it was damaged in shipment  sad...I have to call customer service.
1037323,Positive,made it into one of the best choirs in new york!! so excited to get to see tiff in a few hours!!! 
1037324,Positive,made it into the Barnard Magazine...and is feeling absurdly cool about it 
1037325,Negative,made it into the mob tonight on the live 1 vs 100 on XBL.  Wish the prizes were real though.  Not in Beta unfortunately.  
1037326,Positive,Made It Into Work This Morning Yay For Me.. It Looks As Though The Sun Was Attempting To Come Up With Me.. Maybe Next Week!  GOOD MORNING!
1037327,Positive,Made it onto flight just in time. Thank you sexy dude at counter for liking my smile 
1037328,Negative,"Made it onto the bus, no coffee since I can't pee. Didn't sleep well, have headache and feel nauseated  pity city"
1037329,Positive,Made it past the border. Customs said someone else came through for a philosophy BBQ last night. 
1037330,Negative,Made it safe to Atlanta. Brother and sister need so much help. I need the internets 
1037331,Positive,Made it through an entire day of evaluating at comp cards without one papercut...we call that a 'win'. *Ouch*. Nevermind. 
1037332,Negative,Made it through the weekend.  I was really depressed the last few days.  ...not excited about work though. Another week here we come.
1037333,Positive,Made it to &quot;The Hangover&quot; screening! My kid's part is the only G-rated role in this flick - Look for the oldest Flower Girl near the end. 
1037334,Positive,Made it to Animal Collective! 
1037335,Negative,Made it to Annexe 10min late. Full house so i'm doomed to watch frm outside..no sound.it's mute..very disappointed 
1037336,Positive,"Made it to atlanta. Next stop, dallas! Woohoo "
1037337,Negative,made it to atlanta... :/ ... my little (big) brother on his flight to orlando... i kinda just wanna go home 
1037338,Positive,"Made it to cali, now headed to eat at olive garden "
1037339,Positive,Made it to california! 
1037340,Positive,Made it to Canada safely 
1037341,Negative,Made it to church early!  Shocking. Hope everyone enjoys the first day of summer and Father's Day!! Flowers on the altar in mem of dad 
1037342,Negative,Made it to Faberge but all the imperial blue faberge egg's had gone 
1037343,Positive,Made it to Fannett safe and sound.....think I'm gonna take a nap! 
1037344,Positive,Made it to IndieSpotting!!  .ly/sU52a    Also on the front page  
1037345,Positive,made it to Japan 
1037346,Positive,Made it to LaGuardia without getting lost  thankfully 4am traffic tends to be light. Airport is zoo
1037347,Positive,Made it to London! Going for Indian food and a beer 
1037348,Positive,Made it to lunch!!!  only 40 more miles!!!
1037349,Positive,"Made it to Massachusetts about 1 this mornin...now what the hell am i supposed to do in this state?! Oh, mornin, luv bugs! "
1037350,Negative,Made it to Nashville. Hubby now captain of this boat. I'm having a hard time driving thru without seeing my sweet little cousins 
1037351,Negative,Made it to the court house but they won't let me in for another eleven minutes. Meanies.  
1037352,Negative,"Made it to the end of the week, but not the end of work. Have to go in this weekend and work on an SBS08 and Hyper-V install "
1037353,Negative,Made it to the finals and lost ...  ... Ur boy stepped up but it wasn't enough... Back to jersey  myloc.me/27V8
